Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-29 20:59:07,0.0,4.19169,0.0,-0.52579,0.0
2018-11-29 20:59:17,0.16666666666666666,4.19169,0.0,-0.63095,0.0
2018-11-29 20:59:27,0.3333333333333333,4.19169,0.0,-0.63095,0.0
2018-11-29 20:59:37,0.5,4.19169,0.0,-0.52579,0.0
2018-11-29 20:59:47,0.6666666666666666,4.19169,0.0,-0.63095,0.0
2018-11-29 20:59:57,0.8333333333333334,4.19169,0.0,-0.63095,0.0
2018-11-29 20:59:57,0.8333333333333334,4.19169,0.0,-0.63095,0.0
2018-11-29 21:00:07,1.0,3.90989,-3.00106,-0.63095,-0.00834
2018-11-29 21:00:17,1.1666666666666667,3.89253,-3.00106,-0.52579,-0.01668
2018-11-29 21:00:27,1.3333333333333333,3.88157,-2.9985,-0.52579,-0.02501
2018-11-29 21:00:37,1.5,3.87415,-3.00106,-0.52579,-0.03335
2018-11-29 21:00:47,1.6666666666666667,3.86893,-3.00106,-0.42063,-0.04168
2018-11-29 21:00:57,1.8333333333333333,3.86505,-2.9985,-0.31548,-0.05001
2018-11-29 21:01:07,2.0,3.86219,-3.00106,-0.21032,-0.05835
2018-11-29 21:01:17,2.1666666666666665,3.85999,-2.9985,-0.10516,-0.06668
2018-11-29 21:01:27,2.3333333333333335,3.85814,-3.00106,-0.10516,-0.07502
2018-11-29 21:01:37,2.5,3.85679,-3.00106,0.0,-0.08335
2018-11-29 21:01:47,2.6666666666666665,3.85544,-3.00106,0.0,-0.09168
2018-11-29 21:01:57,2.8333333333333335,3.85443,-3.00106,0.10516,-0.10001
2018-11-29 21:02:07,3.0,3.85359,-3.00106,0.10516,-0.10835
2018-11-29 21:02:17,3.1666666666666665,3.85258,-3.00106,0.10516,-0.11668
2018-11-29 21:02:27,3.3333333333333335,3.85174,-3.00106,0.10516,-0.12501
2018-11-29 21:02:37,3.5,3.85089,-3.00106,0.10516,-0.13335
2018-11-29 21:02:47,3.6666666666666665,3.84988,-3.00106,0.10516,-0.14168
2018-11-29 21:02:57,3.8333333333333335,3.84904,-3.00106,0.21032,-0.15002
2018-11-29 21:03:07,4.0,3.8482,-3.00106,0.21032,-0.15835
2018-11-29 21:03:17,4.166666666666667,3.84735,-2.9985,0.31548,-0.16669
2018-11-29 21:03:27,4.333333333333333,3.84651,-3.00106,0.31548,-0.17502
2018-11-29 21:03:37,4.5,3.8455,-3.00106,0.31548,-0.18336
2018-11-29 21:03:47,4.666666666666667,3.84466,-3.00106,0.31548,-0.19169
2018-11-29 21:03:57,4.833333333333333,3.84381,-3.00106,0.21032,-0.20002
2018-11-29 21:04:07,5.0,3.8428,-3.00106,0.42063,-0.20836
