Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-19 11:33:53,0.0,4.06058,-1.44817,9.14879,0.02292
2018-11-19 11:34:53,1.0,4.04271,-1.44817,9.25395,-0.00124
2018-11-19 11:35:53,2.0,4.03125,-1.44817,9.25395,-0.0254
2018-11-19 11:36:53,3.0,4.02282,-1.45072,9.14879,-0.04957
2018-11-19 11:37:53,4.0,4.01608,-1.44817,9.14879,-0.07373
2018-11-19 11:38:53,5.0,4.01035,-1.45072,9.14879,-0.0979
2018-11-19 11:39:53,6.0,4.00546,-1.44817,9.25395,-0.12206
2018-11-19 11:40:53,7.0,4.00091,-1.44817,9.25395,-0.14621
2018-11-19 11:41:53,8.0,3.9967,-1.45072,9.35911,-0.17038
2018-11-19 11:42:53,9.0,3.99265,-1.45072,9.35911,-0.19454
2018-11-19 11:43:53,10.0,3.98844,-1.44817,9.25395,-0.2187
2018-11-19 11:44:53,11.0,3.98405,-1.45072,9.14879,-0.24287
2018-11-19 11:45:53,12.0,3.97933,-1.45072,9.14879,-0.26703
2018-11-19 11:46:53,13.0,3.97461,-1.45072,9.25395,-0.2912
2018-11-19 11:47:53,14.0,3.96956,-1.45072,9.14879,-0.31535
2018-11-19 11:48:53,15.0,3.96433,-1.45072,9.46427,-0.33952
2018-11-19 11:49:53,16.0,3.95877,-1.44817,9.35911,-0.36368
2018-11-19 11:50:53,17.0,3.9527,-1.45072,9.46427,-0.38784
2018-11-19 11:51:53,18.0,3.94613,-1.45072,9.25395,-0.412
2018-11-19 11:52:53,19.0,3.93871,-1.45072,9.14879,-0.43616
2018-11-19 11:53:53,20.0,3.93079,-1.44817,9.14879,-0.46032
2018-11-19 11:54:53,21.0,3.92253,-1.44817,9.25395,-0.48447
2018-11-19 11:55:53,22.0,3.91393,-1.44817,9.25395,-0.50863
2018-11-19 11:56:53,23.0,3.905,-1.45072,9.46427,-0.53279
2018-11-19 11:57:53,24.0,3.89607,-1.45072,9.46427,-0.55696
2018-11-19 11:58:53,25.0,3.88696,-1.44817,9.46427,-0.58112
2018-11-19 11:59:53,26.0,3.87769,-1.44817,9.25395,-0.60528
2018-11-19 12:00:53,27.0,3.86842,-1.44817,9.25395,-0.62944
2018-11-19 12:01:53,28.0,3.85915,-1.45072,9.25395,-0.6536
2018-11-19 12:02:53,29.0,3.85039,-1.44817,9.25395,-0.67776
2018-11-19 12:03:53,30.0,3.84179,-1.45072,9.25395,-0.70193
2018-11-19 12:04:53,31.0,3.83353,-1.44817,9.35911,-0.72609
2018-11-19 12:05:53,32.0,3.82561,-1.44817,9.46427,-0.75025
2018-11-19 12:06:53,33.0,3.81785,-1.44817,9.46427,-0.77441
2018-11-19 12:07:53,34.0,3.8101,-1.45072,9.35911,-0.79858
2018-11-19 12:08:53,35.0,3.80268,-1.45072,9.35911,-0.82274
2018-11-19 12:09:53,36.0,3.7951,-1.45072,9.25395,-0.8469
2018-11-19 12:10:53,37.0,3.78751,-1.45072,9.25395,-0.87106
2018-11-19 12:11:53,38.0,3.77993,-1.44817,9.35911,-0.89522
2018-11-19 12:12:53,39.0,3.77251,-1.45072,9.35911,-0.91938
2018-11-19 12:13:53,40.0,3.76493,-1.44817,9.46427,-0.94353
2018-11-19 12:14:53,41.0,3.75734,-1.45072,9.46427,-0.96769
2018-11-19 12:15:53,42.0,3.74942,-1.44817,9.46427,-0.99185
2018-11-19 12:16:53,43.0,3.74133,-1.45072,9.25395,-1.01602
2018-11-19 12:17:53,44.0,3.73273,-1.44817,9.14879,-1.04018
2018-11-19 12:18:53,45.0,3.72397,-1.44817,9.14879,-1.06434
2018-11-19 12:19:53,46.0,3.7152,-1.45072,9.25395,-1.0885
2018-11-19 12:20:53,47.0,3.7061,-1.45072,9.25395,-1.11267
2018-11-19 12:21:53,48.0,3.697,-1.44817,9.35911,-1.13683
2018-11-19 12:22:53,49.0,3.6879,-1.44817,9.46427,-1.16099
2018-11-19 12:23:53,50.0,3.67846,-1.44817,9.46427,-1.18516
2018-11-19 12:24:53,51.0,3.66902,-1.44817,9.35911,-1.20932
2018-11-19 12:25:53,52.0,3.65941,-1.44817,9.35911,-1.23348
2018-11-19 12:26:53,53.0,3.64963,-1.45072,9.25395,-1.25764
2018-11-19 12:27:53,54.0,3.63986,-1.45072,9.25395,-1.2818
2018-11-19 12:28:53,55.0,3.62991,-1.45072,9.25395,-1.30596
2018-11-19 12:29:53,56.0,3.62014,-1.45072,9.25395,-1.33012
2018-11-19 12:30:53,57.0,3.61053,-1.44817,9.35911,-1.35428
2018-11-19 12:31:53,58.0,3.60109,-1.44817,9.46427,-1.37845
2018-11-19 12:32:53,59.0,3.59182,-1.45072,9.56943,-1.4026
2018-11-19 12:33:53,60.0,3.58272,-1.45072,9.46427,-1.42676
2018-11-19 12:34:53,61.0,3.57395,-1.44817,9.35911,-1.45092
2018-11-19 12:35:53,62.0,3.56535,-1.45072,9.25395,-1.47509
2018-11-19 12:36:53,63.0,3.55709,-1.45072,9.25395,-1.49925
2018-11-19 12:37:53,64.0,3.549,-1.45072,9.25395,-1.52341
2018-11-19 12:38:53,65.0,3.54142,-1.45072,9.25395,-1.54757
2018-11-19 12:39:53,66.0,3.53417,-1.45072,9.25395,-1.57173
2018-11-19 12:40:53,67.0,3.52726,-1.45072,9.46427,-1.59589
2018-11-19 12:41:53,68.0,3.52069,-1.44817,9.46427,-1.62004
2018-11-19 12:42:53,69.0,3.51428,-1.45072,9.46427,-1.6442
2018-11-19 12:43:53,70.0,3.50821,-1.45072,9.46427,-1.66836
2018-11-19 12:44:53,71.0,3.50214,-1.45072,9.35911,-1.69252
2018-11-19 12:45:53,72.0,3.49608,-1.45072,9.25395,-1.71668
2018-11-19 12:46:53,73.0,3.49001,-1.45072,9.14879,-1.74085
2018-11-19 12:47:53,74.0,3.48394,-1.44817,9.25395,-1.76501
2018-11-19 12:48:53,75.0,3.47787,-1.45072,9.25395,-1.78917
2018-11-19 12:49:53,76.0,3.47197,-1.45072,9.25395,-1.81333
2018-11-19 12:50:53,77.0,3.4659,-1.45072,9.46427,-1.83749
2018-11-19 12:51:53,78.0,3.45967,-1.44817,9.46427,-1.86166
2018-11-19 12:52:53,79.0,3.45343,-1.45072,9.46427,-1.88583
2018-11-19 12:53:53,80.0,3.44686,-1.45072,9.46427,-1.90999
2018-11-19 12:54:53,81.0,3.44011,-1.44817,9.35911,-1.93416
2018-11-19 12:55:53,82.0,3.43304,-1.44817,9.35911,-1.95832
2018-11-19 12:56:53,83.0,3.42545,-1.45072,9.35911,-1.98248
2018-11-19 12:57:53,84.0,3.41753,-1.45072,9.46427,-2.00664
2018-11-19 12:58:53,85.0,3.4091,-1.45072,9.46427,-2.03081
2018-11-19 12:59:53,86.0,3.40017,-1.44817,9.56943,-2.05498
2018-11-19 13:00:53,87.0,3.39073,-1.45072,9.67458,-2.07914
2018-11-19 13:01:53,88.0,3.38078,-1.45072,9.67458,-2.1033
2018-11-19 13:02:53,89.0,3.37016,-1.44817,9.67458,-2.12747
2018-11-19 13:03:53,90.0,3.35887,-1.45072,9.46427,-2.15163
2018-11-19 13:04:53,91.0,3.34673,-1.44817,9.46427,-2.17579
2018-11-19 13:05:53,92.0,3.33375,-1.45072,9.46427,-2.19994
2018-11-19 13:06:53,93.0,3.31943,-1.45072,9.56943,-2.22409
2018-11-19 13:07:53,94.0,3.30308,-1.45072,9.46427,-2.24825
2018-11-19 13:08:53,95.0,3.28336,-1.44817,9.56943,-2.27242
2018-11-19 13:09:53,96.0,3.25942,-1.45072,9.46427,-2.29657
2018-11-19 13:10:53,97.0,3.23144,-1.45072,9.56943,-2.32073
2018-11-19 13:11:53,98.0,3.19857,-1.45072,9.67458,-2.3449
2018-11-19 13:12:53,99.0,3.16115,-1.44817,9.67458,-2.36907
2018-11-19 13:13:53,100.0,3.11968,-1.44817,9.67458,-2.39323
2018-11-19 13:14:53,101.0,3.07586,-1.44817,9.56943,-2.41738
2018-11-19 13:15:53,102.0,3.029,-1.45072,9.56943,-2.44154
2018-11-19 13:16:53,103.0,2.97557,-1.44817,9.46427,-2.4657
2018-11-19 13:17:53,104.0,2.90831,-1.45072,9.46427,-2.48986
2018-11-19 13:18:53,105.0,2.81409,-1.44817,9.56943,-2.51403
2018-11-19 13:19:00,105.11666666666666,2.79993,-1.44817,9.56943,-2.51684
2018-11-19 13:20:00,106.11666666666666,2.97314,0.0,10.93649,0.0
2018-11-19 13:21:00,107.11666666666666,2.99859,0.0,13.88093,0.0
2018-11-19 13:22:00,108.11666666666666,3.01225,0.0,17.03568,0.0
2018-11-19 13:23:00,109.11666666666666,3.02152,0.0,19.7698,0.0
2018-11-19 13:24:00,110.11666666666666,3.02894,0.0,21.66266,0.0
2018-11-19 13:25:00,111.11666666666666,3.03534,0.0,22.39877,0.0
2018-11-19 13:26:00,112.11666666666666,3.04107,0.0,22.50393,0.0
2018-11-19 13:27:00,113.11666666666666,3.0463,0.0,22.29361,0.0
2018-11-19 13:28:00,114.11666666666666,3.05085,0.0,22.08329,0.0
2018-11-19 13:29:00,115.11666666666666,3.05506,0.0,22.29361,0.0
2018-11-19 13:30:00,116.11666666666666,3.05877,0.0,22.50393,0.0
2018-11-19 13:31:00,117.11666666666666,3.06214,0.0,23.02972,0.0
