Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-12-24 02:18:36,0.0,3.22689,-5.99956,-17.66663,-0.09998
2018-12-24 02:19:36,1.0,3.36224,-5.997,-15.87894,-0.19995
2018-12-24 02:20:36,2.0,3.39882,-5.99956,-15.03767,-0.29994
2018-12-24 02:21:36,3.0,3.39123,-5.99956,-14.51188,-0.39992
2018-12-24 02:22:36,4.0,3.35735,-5.99956,-14.1964,-0.4999
2018-12-24 02:23:36,5.0,3.30645,-5.99956,-13.77577,-0.59987
2018-12-24 02:24:36,6.0,3.24577,-5.99956,-13.56545,-0.69985
2018-12-24 02:25:36,7.0,3.17902,-5.99956,-13.35513,-0.79983
2018-12-24 02:26:36,8.0,3.10974,-5.997,-13.03966,-0.89981
2018-12-24 02:27:36,9.0,3.03844,-5.99956,-12.82934,-0.99979
2018-12-24 02:28:36,10.0,2.96697,-5.99956,-12.40871,-1.09977
2018-12-24 02:29:36,11.0,2.89432,-5.99956,-12.19839,-1.19975
2018-12-24 02:30:36,12.0,2.81662,-5.99956,-11.77776,-1.29973
2018-12-24 02:30:48,12.2,2.79993,-5.99956,-11.77776,-1.31989
2018-12-24 02:31:48,13.2,3.51845,0.0,-10.51585,-0.00017
2018-12-24 02:32:48,14.2,3.59514,0.0,-7.88689,-0.00017
2018-12-24 02:33:48,15.2,3.62785,0.0,-5.15277,-0.00017
2018-12-24 02:34:48,16.2,3.64622,0.0,-2.41865,-0.00017
2018-12-24 02:35:48,17.2,3.6592,0.0,0.52579,-0.00017
2018-12-24 02:36:48,18.2,3.66999,0.0,3.0496,-0.00017
2018-12-24 02:37:48,19.2,3.6801,0.0,5.46824,-0.00017
2018-12-24 02:38:48,20.2,3.69089,0.0,8.51784,-0.00017
2018-12-24 02:39:48,21.2,3.70269,0.0,11.35712,-0.00017
2018-12-24 02:40:48,22.2,3.71398,0.0,14.40672,-0.00017
2018-12-24 02:41:48,23.2,3.72393,0.0,17.246,-0.00017
2018-12-24 02:42:48,24.2,3.73252,0.0,19.66465,-0.00017
2018-12-24 02:43:48,25.2,3.73944,0.0,21.03171,-0.00017
2018-12-24 02:44:48,26.2,3.74584,0.0,21.13686,-0.00017
2018-12-24 02:45:48,27.2,3.75124,0.0,20.71623,-0.00017
2018-12-24 02:46:48,28.2,3.75511,0.0,20.82139,-0.00017
2018-12-24 02:47:48,29.2,3.75781,0.0,21.87297,-0.00017
2018-12-24 02:48:48,30.2,3.75983,0.0,23.13488,-0.00017
2018-12-24 02:49:48,31.2,3.76118,0.0,23.66067,-0.00017
2018-12-24 02:50:48,32.2,3.76253,0.0,23.24004,-0.00017
2018-12-24 02:51:48,33.2,3.76354,0.0,22.60908,-0.00017
2018-12-24 02:52:48,34.2,3.76438,0.0,22.18845,-0.00017
2018-12-24 02:53:48,35.2,3.76489,0.0,22.39877,-0.00017
2018-12-24 02:54:48,36.2,3.76556,0.0,23.34519,-0.00017
2018-12-24 02:55:48,37.2,3.7659,0.0,24.0813,-0.00017
2018-12-24 02:56:48,38.2,3.76641,0.0,23.97615,-0.00017
2018-12-24 02:57:48,39.2,3.76674,0.0,23.55551,-0.00017
2018-12-24 02:58:48,40.2,3.76691,0.0,23.02972,-0.00017
2018-12-24 02:59:48,41.2,3.76708,0.0,22.8194,-0.00017
2018-12-24 03:00:48,42.2,3.76725,0.0,23.13488,-0.00017
2018-12-24 03:01:48,43.2,3.76742,0.0,23.55551,-0.00017
2018-12-24 03:02:48,44.2,3.76742,0.0,23.97615,-0.00017
2018-12-24 03:03:48,45.2,3.76759,0.0,24.0813,-0.00017
2018-12-24 03:04:48,46.2,3.76775,0.0,23.87099,-0.00017
2018-12-24 03:05:48,47.2,3.76775,0.0,23.34519,-0.00017
2018-12-24 03:06:48,48.2,3.76775,0.0,23.13488,-0.00017
2018-12-24 03:07:48,49.2,3.76775,0.0,23.34519,-0.00017
2018-12-24 03:08:48,50.2,3.76775,0.0,23.55551,-0.00017
2018-12-24 03:09:48,51.2,3.76775,0.0,23.87099,-0.00017
2018-12-24 03:10:48,52.2,3.76775,0.0,24.0813,-0.00017
2018-12-24 03:11:48,53.2,3.76792,0.0,23.97615,-0.00017
2018-12-24 03:12:48,54.2,3.76792,0.0,23.76583,-0.00017
2018-12-24 03:13:48,55.2,3.76792,0.0,23.66067,-0.00017
2018-12-24 03:14:48,56.2,3.76792,0.0,23.55551,-0.00017
2018-12-24 03:15:48,57.2,3.76792,0.0,23.66067,-0.00017
2018-12-24 03:16:48,58.2,3.76775,0.0,23.76583,-0.00017
2018-12-24 03:17:48,59.2,3.76775,0.0,23.76583,-0.00017
2018-12-24 03:18:48,60.2,3.76775,0.0,23.87099,-0.00017
2018-12-24 03:19:48,61.2,3.76775,0.0,23.87099,-0.00017
2018-12-24 03:20:48,62.2,3.76775,0.0,23.76583,-0.00017
