Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-12-24 20:56:52,0.0,4.18278,-0.04342,-19.7698,-0.0
2018-12-24 20:56:52,0.0,4.17688,-0.08173,-19.7698,-0.0
2018-12-24 20:56:52,0.0,4.17335,-0.09195,-19.7698,-0.0
2018-12-24 20:56:52,0.0,4.17115,-0.0945,-19.7698,-1e-05
2018-12-24 20:56:52,0.0,4.16913,-0.0945,-19.7698,-1e-05
2018-12-24 20:56:52,0.0,4.16761,-0.0945,-19.7698,-1e-05
2018-12-24 20:56:52,0.0,4.16576,-0.09706,-19.7698,-1e-05
2018-12-24 20:56:53,0.016666666666666666,4.16407,-0.0945,-19.7698,-2e-05
2018-12-24 20:56:53,0.016666666666666666,4.16256,-0.0945,-19.7698,-2e-05
2018-12-24 20:56:53,0.016666666666666666,4.16138,-0.0945,-19.7698,-2e-05
2018-12-24 20:56:53,0.016666666666666666,4.15986,-0.09706,-19.7698,-3e-05
2018-12-24 20:56:53,0.016666666666666666,4.15851,-0.09706,-19.7698,-3e-05
2018-12-24 20:56:53,0.016666666666666666,4.15716,-0.09706,-19.7698,-3e-05
2018-12-24 20:56:53,0.016666666666666666,4.15598,-0.09706,-19.7698,-3e-05
2018-12-24 20:56:53,0.016666666666666666,4.15464,-0.09706,-19.7698,-4e-05
2018-12-24 20:56:53,0.016666666666666666,4.15346,-0.09706,-19.7698,-4e-05
2018-12-24 20:56:53,0.016666666666666666,4.15244,-0.0945,-19.7698,-4e-05
2018-12-24 20:56:54,0.03333333333333333,4.15126,-0.09706,-19.7698,-4e-05
2018-12-24 20:56:54,0.03333333333333333,4.15025,-0.09706,-19.7698,-5e-05
2018-12-24 20:56:54,0.03333333333333333,4.14924,-0.09706,-19.7698,-5e-05
2018-12-24 20:56:54,0.03333333333333333,4.14823,-0.09706,-19.7698,-5e-05
2018-12-24 20:56:54,0.03333333333333333,4.14722,-0.0945,-19.7698,-6e-05
2018-12-24 20:56:54,0.03333333333333333,4.14621,-0.09706,-19.7698,-6e-05
2018-12-24 20:56:54,0.03333333333333333,4.14536,-0.09706,-19.7698,-6e-05
2018-12-24 20:56:54,0.03333333333333333,4.14435,-0.09706,-19.7698,-6e-05
2018-12-24 20:56:54,0.03333333333333333,4.14351,-0.09706,-19.7698,-7e-05
2018-12-24 20:56:54,0.03333333333333333,4.14284,-0.09706,-19.7698,-7e-05
2018-12-24 20:56:55,0.05,4.14199,-0.09706,-19.7698,-7e-05
2018-12-24 20:56:55,0.05,4.14115,-0.0945,-19.7698,-7e-05
2018-12-24 20:56:55,0.05,4.14048,-0.0945,-19.7698,-8e-05
2018-12-24 20:56:55,0.05,4.13963,-0.09706,-19.7698,-8e-05
2018-12-24 20:56:55,0.05,4.13896,-0.09706,-19.7698,-8e-05
2018-12-24 20:56:55,0.05,4.13829,-0.09706,-19.7698,-8e-05
2018-12-24 20:56:55,0.05,4.13761,-0.09706,-19.7698,-9e-05
2018-12-24 20:56:55,0.05,4.13711,-0.0945,-19.7698,-9e-05
2018-12-24 20:56:55,0.05,4.13626,-0.09706,-19.7698,-9e-05
2018-12-24 20:56:55,0.05,4.13576,-0.09706,-19.7698,-0.0001
2018-12-24 20:56:56,0.06666666666666667,4.13508,-0.09706,-19.7698,-0.0001
2018-12-24 20:56:56,0.06666666666666667,4.13458,-0.09706,-19.7698,-0.0001
2018-12-24 20:56:56,0.06666666666666667,4.13407,-0.09706,-19.7698,-0.0001
2018-12-24 20:56:56,0.06666666666666667,4.1334,-0.09706,-19.7698,-0.00011
2018-12-24 20:56:56,0.06666666666666667,4.13289,-0.09706,-19.7698,-0.00011
2018-12-24 20:56:56,0.06666666666666667,4.13239,-0.09706,-19.7698,-0.00011
2018-12-24 20:56:56,0.06666666666666667,4.13188,-0.09706,-19.7698,-0.00011
